EXTVER, Integer
GOODMAX, Float
NAXIS1, Integer
RAW_LTV2, Float
CENTERA2, Integer
SIZAXIS1, Integer
LTM1_1, Float
STDCFFF, Bool
WFCMPRSD, Bool
RAW_LTV1, Float
XTENSION, String
VAFACTOR, Float
SIZAXIS2, Integer
NCOMBINE, Integer
CD2_2, Float
STDCFFP, String
MEANDARK, Float
MEANBLEV, Float
GOODMIN, Float
COMPTYP, String
CD1_1, Float
GCOUNT, Integer
PCOUNT, Integer
SNRMAX, Float
SNRMEAN, Float
EXPNAME, String
CD1_2, Float
PHOTFLAM, Float
BINAXIS2, Integer
CTYPE1, String
MEANFLSH, Float
CENTERA1, Integer
ERRCNT, Integer
ORIENTAT, Float
PHOTZPT, Float
CRVAL2, Float
SDQFLAGS, Integer
PA_APER, Float
PODPSFF, Bool
EXTNAME, String
FILLCNT, Integer
SNRMIN, Float
WCSAXES, Integer
DATAMAX, Float
CCDCHIP, Integer
NGOODPIX, Integer
PHOTBW, Float
CD2_1, Float
RA_APER, Float
LTV2, Float
INHERIT, Bool
CRPIX1, Float
LTM2_2, Float
BUNIT, String
SOFTERRS, Integer
BSCALE, Float
DATAMIN, Float
BZERO, Float
BINAXIS1, Integer
PHOTPLAM, Float
GOODMEAN, Float
CRVAL1, Float
CBLKSIZ, Integer
LOSTPIX, Integer
NAXIS2, Integer
CTYPE2, String
CRPIX2, Float
DEC_APER, Float
PHOTMODE, String
LTV1, Float
