CONFIG, String
AS2CSY43, Float
APEROFFX, Float
HOSAPOR, Float
TARDESCR, String
AS2CSX41, Float
ANG_SIDE, Float
SP_TYPE, String
SS_MBNA2, Integer
HOSV2CNT, Float
MTFLAG, String
APER_REF, String
RCASCNRV, Float
DEFAULTS, Bool
APERSKY, String
CS2ASY31, Float
CS2ASY32, Float
HOSPOLY, Integer
CDBSDATA, String
RA_V1, Float
CS2ASY00, Float
RCARGPER, Float
ECL_LAT, Float
SCAN_RAT, Float
PROPTTL1, String
AS2CSY32, Float
CS2ASX20, Float
S0INVMAG, Float
PSTRTIME, String
CLKRATE, Float
GLON_REF, Float
TARG_ID, String
SURFLONG, Float
OPMODE, String
MU_RA, Float
AS2CSX30, Float
APEROBJ, String
DGESTAR, String
DEC_REF, Float
GAL_LAT, Float
DATE, String
AS2CSX22, Float
APVER4V2, Float
AS2CSX42, Float
RCASCNRD, Float
FLTSWVER, String
ANGLESEP, Float
AS2CSY33, Float
S0ZDIR, Float
GAL_LONG, Float
SS_PKCNT, String
RA_PROP, Float
EPCHTIME, Float
OPUS_VER, String
CS2ASX32, Float
AS2CSY40, Float
ANNPARRA, Float
RA_TARG, Float
RA_REF, Float
CS2ASY42, Float
OBSSTRTT, Float
SINEINCL, Float
APERTYPE, String
PARALLAX, Float
PARENTID, Integer
GROUPS, Bool
SEMILREC, Float
TIMEFFEC, Float
AS2CSX11, Float
AS2CSY10, Float
NPRATRG, Float
APVER2V2, Float
SS_SPLIT, Integer
VELOCSTZ, Float
CS2ASX42, Float
VELOCSTY, Float
CS2ASY40, Float
AS2CSX10, Float
RA_MOON, Float
DEC_MOON, Float
HOSIASY, Float
CS2ASY33, Float
EXTNCT_V, Float
AS2CSX40, Float
ORIGIN, String
SPEC_3, String
POSTNSTZ, Float
AS2CSX44, Float
CS2ASX43, Float
CS2ASY30, Float
AS2CSX33, Float
SS_CHKBX, Integer
FILETYPE, String
ECBDX3, Float
CALIBTYP, String
ECBDX4D3, Float
MU_EPOCH, String
MU_DEC, Float
PA_REF, Float
CS2ASY20, Float
ELAT_REF, Float
PEQUINOX, String
SPEC_2, String
AS2CSX20, Float
PROC_TYP, String
SURFALTD, Float
SS_A2CRN, Integer
AS2CSY30, Float
APEROFFY, Float
APVER1V2, Float
CLKDRFTR, Float
SCAN_TYP, String
SS_CBNA2, Integer
TARAQMOD, String
ASN_TAB, String
MEANANOM, Float
PSTPTIME, String
SURF_U, Float
APER_1, String
AS2CSX00, Float
V2APERCE, Float
FLATNTRG, Float
SS_OBSMD, String
SGESTAR, String
TAR_TYPE, String
MAG_B, Float
AS2CSY21, Float
AS2CSY31, Float
HOSD1, Float
VELOCSTX, Float
POSTNSTY, Float
ACCPDATE, String
SCAN_LEN, Float
AS2CSX31, Float
CS2ASX41, Float
T51_ANGL, Float
SDMA3SQ, Float
COL_V_R, Float
COL_U_B, Float
CMD_EXP, Float
SCAN_WID, Float
SS_SUBAR, String
EQRADTRG, Float
SPCLINCN, Float
SS_GRTNG, String
TRK_TYPE, String
HOSIVDM, Float
DEC_TARG, Float
DEC_PROP, Float
PROPOSID, Integer
SS_MBNA1, Integer
ARGPERIG, Float
ECCENTRY, Float
SCAN_COR, String
POSTNSTX, Float
CS2ASY44, Float
CALIBRAT, String
SDMEANAN, Float
TARGDIST, Float
PAR_CORR, String
AS2CSY42, Float
NO_LINES, Integer
ESQDX5D2, Float
COL_B_V, Float
CS2ASX10, Float
APVER2V3, Float
APVER3V2, Float
HOSD2, Float
PA_V3, Float
PROGRMID, String
PR_INV_M, String
AS2CSY44, Float
PA_APER, Float
APVER1V3, Float
APVER4V3, Float
SPEC_4, String
SS_APER, String
PRODTYPE, String
AS2CSY41, Float
CS2ASX21, Float
SS_DTCTR, String
AS2CSY20, Float
SAAAVOID, String
SURF_V, Float
OPFORMAT, String
HOSIASX, Float
FDMEANAN, Float
RAD_VEL, Float
HOSIMPAR, Integer
PR_INV_F, String
APER_4, String
DWELL_TM, Float
SS_CNMTH, String
CS2ASX22, Float
SS_STPSZ, Float
EQUINOX, Float
SS_A1CRN, Integer
SS_GAIN, Integer
CS2ASX11, Float
MAG_V, Float
INSTRUME, String
CS2ASX40, Float
S0YDIR, Float
AS2CSY11, Float
SURFLATD, Float
HOSTH1, Float
PR_INV_L, String
SS_RPT, Integer
MAG_U, Float
AS2CSX32, Float
SS_NSTEP, Integer
DEC_V1, Float
SS_A1SZE, Float
CIRVELOC, Float
CS2ASX30, Float
TELESCOP, String
CS2ASX33, Float
ASN_MTYP, String
OBSERVTN, String
SS_CBNA1, Integer
HSTHORB, Float
COSINCLI, Float
UTC0, Float
ECCENTX2, Float
CS2ASY21, Float
OBSET_ID, String
CS2ASY10, Float
APVER3V3, Float
HOSISHA, String
AS2CSX21, Float
APER_2, String
HOSV3CNT, Float
PROP_TYP, String
AS2CSX43, Float
LINENUM, String
SS_A2SZE, Float
T51_RATE, Float
GLAT_REF, Float
V3APERCE, Float
EPLONGPM, Float
RASCASCN, Float
APER_3, String
AS2CSY22, Float
CS2ASX44, Float
DWELL_LN, Integer
ECL_LONG, Float
S0XDIR, Float
CS2ASY22, Float
LONGPMER, Float
HOSTH2, Float
AS2CSY00, Float
ASN_ID, String
ELON_REF, Float
MAG_R, Float
SCAN_ANG, Float
DEC_SUN, Float
ROTRTTRG, Float
E_B_V, Float
CS2ASY41, Float
NEXTEND, Integer
NPDECTRG, Float
SURF_R, Float
REDSHIFT, Float
WRD11_14, Integer
EXPACKET, Integer
VELABBRA, Float
TARGCAT, String
CS2ASX31, Float
CS2ASY43, Float
CS2ASX00, Float
SPEC_1, String
TARGNAME, String
SURF_B, Float
CS2ASY11, Float
RA_SUN, Float
