EXTVER, Integer
GOODMAX, Float
NAXIS1, Integer
RAW_LTV2, Float
RADESYS, String
LTM1_1, Float
PEDIGREE, String
OBSTYPE, String
RAW_LTV1, Float
XTENSION, String
VAFACTOR, Float
LONPOLE, Float
TELESCOP, String
CD2_2, Float
ORIGIN, String
GOODMIN, Float
CD1_1, Float
GCOUNT, Integer
PCOUNT, Integer
DETECTOR, String
EXPNAME, String
CD1_2, Float
FILETYPE, String
DESCRIP, String
CUNIT1, String
FILTER2, String
CTYPE1, String
CDELT2, Float
ORIENTAT, Float
CRVAL2, Float
SDQFLAGS, Integer
CDELT1, Float
PA_APER, Float
DATE, String
WCSNAME, String
EXTNAME, String
LATPOLE, Float
WCSAXES, Integer
USEAFTER, String
NGOODPIX, Integer
CD2_1, Float
RA_APER, Float
LTV2, Float
INSTRUME, String
INHERIT, Bool
CRPIX1, Float
LTM2_2, Float
BUNIT, String
GOODMEAN, Float
EQUINOX, Float
FILTER1, String
CRVAL1, Float
CUNIT2, String
NAXIS2, Integer
CTYPE2, String
CRPIX2, Float
DEC_APER, Float
LTV1, Float
