RULEFILE, String
D007OUWE, String
D008VER, String
D001KERN, String
EXTEND, Bool
SIMPLE, Bool
BLENDVER, String
READNSED, Float
UPWCSVER, String
READNSEB, Float
READNSEC, Float
D002GEOM, String
READNSEA, Float
D003OUUN, String
PATTERN1, String
BIASCORR, String
D007VER, String
D004GEOM, String
D008WKEY, String
D004VER, String
D007COEF, String
D008DEXP, Float
D001VER, String
D007WTSC, Integer
CRTHRESH, Float
SPOTTAB, String
D001OUWE, String
D001FVAL, String
SUNANGLE, Float
D008DATA, String
D002WKEY, String
D002WTSC, Integer
D004DEXP, Float
FW2OFFST, Integer
D001DEXP, Float
FLSHFILE, String
D007KERN, String
D006WTSC, Integer
D008OUUN, String
MOONANGL, Float
SKYSUM, Float
SKYSUB, String
D002DEXP, Float
OBSMODE, String
COMPTAB, String
FWSERROR, Bool
DQICORR, String
FLASHCUR, String
D007ISCL, Float
FILTER1, String
D005OUWE, String
FILTER2, String
D005DEXP, Float
D006OUCO, String
PRIMESI, String
IMPHTTAB, String
P1_ANGLE, Float
D006FVAL, String
TARGNAME, String
D005MASK, String
SIPNAME, String
DARKFILE, String
DFLTFILE, String
D006OUWE, String
D003GEOM, String
D007SCAL, Float
D004OUWE, String
D008PIXF, Float
D002MASK, String
NRPTEXP, Integer
RULESVER, Float
D005WKEY, String
P1_SHAPE, String
EXPTIME, Float
CRCORR, String
LFLTFILE, String
PYWCSVER, String
D004KERN, String
PHOTCORR, String
D002KERN, String
D008COEF, String
D007OUCO, String
NAXIS, Integer
DATE-OBS, String
FWSOFFST, Integer
POSTARG1, Float
OSCNTAB, String
D003OUWE, String
D005OUDA, String
D007WKEY, String
CCDGAIN, Float
D001OUUN, String
D006PIXF, Float
PATTSTEP, Integer
D004WKEY, String
D002DATA, String
PROPOSID, Integer
D004OUCO, String
D002PIXF, Float
INSTRUME, String
P1_ORINT, Float
APERTURE, String
SUBARRAY, Bool
D005OUUN, String
CCDOFSTB, Integer
D004PIXF, Float
D004COEF, String
D005WTSC, Integer
FLASHDUR, Float
CCDOFSTA, Integer
P1_PURPS, String
CCDOFSTC, Integer
CCDOFSTD, Integer
DGEOFILE, String
EXPSCORR, String
P1_LSPAC, Float
D005ISCL, Float
D006VER, String
P1_FRAME, String
D003ISCL, Float
D002OUWE, String
D006ISCL, Float
DRIZCORR, String
D007DEXP, Float
CRRADIUS, Float
D003WKEY, String
D005GEOM, String
D004FVAL, String
ATODCORR, String
BADINPDQ, Integer
D007MASK, String
REJ_RATE, Float
DIRIMAGE, String
D008OUCO, String
D005COEF, String
D006DATA, String
D004WTSC, Integer
FLASHSTA, String
D002COEF, String
BITPIX, Integer
P1_PSPAC, Float
D002SCAL, Float
D008SCAL, Float
D003COEF, String
NEXTEND, Integer
D008WTSC, Integer
D004SCAL, Float
CSYS_VER, String
D003SCAL, Float
D008OUDA, String
D001OUDA, String
D003PIXF, Float
D005DATA, String
D002ISCL, Float
D003OUDA, String
D004OUUN, String
D004DATA, String
D006COEF, String
D006GEOM, String
D001WKEY, String
FGSLOCK, String
D001SCAL, Float
D003MASK, String
PROD_VER, String
D001WTSC, Integer
D005KERN, String
GYROMODE, String
D007GEOM, String
IMAGETYP, String
PCTETRSH, Float
D002FVAL, String
D003KERN, String
CFLTFILE, String
D006OUDA, String
D007PIXF, Float
SCLAMP, String
WRTERR, Bool
IDCTAB, String
D002OUDA, String
CRMASK, Bool
D007FVAL, String
SUN_ALT, Float
D001COEF, String
LRFWAVE, Float
CTEIMAGE, String
NDRIZIM, Integer
D001GEOM, String
D002VER, String
DARKTIME, Float
D003FVAL, String
CRREJTAB, String
SHADCORR, String
D005PIXF, Float
MDRIZTAB, String
P1_CENTR, String
POSTARG2, Float
EXPEND, Float
D003WTSC, Integer
D004OUDA, String
D002OUUN, String
ATODTAB, String
PHOTTAB, String
CRDS_VER, String
TELESCOP, String
D005FVAL, String
TEXPTIME, Float
D004ISCL, Float
D008KERN, String
BPIXTAB, String
ASN_MTYP, String
ATODGNA, Float
ATODGNB, Float
ATODGNC, Float
ATODGND, Float
D005OUCO, String
FW1OFFST, Integer
D006KERN, String
D005VER, String
BLEVCORR, String
FLSHCORR, String
D001PIXF, Float
D007OUUN, String
D002OUCO, String
D007OUDA, String
D006SCAL, Float
D001MASK, String
OBSTYPE, String
MEANEXP, Float
EXPFLAG, String
EXPSTART, Float
FLATCORR, String
CCDTAB, String
D008GEOM, String
FW1ERROR, Bool
CTEDIR, String
D008FVAL, String
P1_NPTS, Integer
D001DATA, String
D003VER, String
D006MASK, String
D005SCAL, Float
PROPAPER, String
D004MASK, String
D008MASK, String
D003DATA, String
D006OUUN, String
DARKCORR, String
SCALENSE, Float
D003OUCO, String
D001ISCL, Float
D001OUCO, String
DETECTOR, String
D007DATA, String
D006DEXP, Float
FW2ERROR, Bool
SHUTRPOS, String
D008ISCL, Float
DISTNAME, String
D003DEXP, Float
D008OUWE, String
CRDS_CTX, String
BIASFILE, String
SHADFILE, String
GRAPHTAB, String
CRSPLIT, Integer
D006WKEY, String
D031WTSC, Integer
D022WTSC, Integer
D028DATA, String
D029PIXF, Float
D024DATA, String
D014OUDA, String
D027FVAL, String
D020PIXF, Float
D015ISCL, String
D016DATA, String
D027DEXP, Float
D025OUDA, String
D012WTSC, String
D032KERN, String
D027OUWE, String
D027ISCL, Float
D022PIXF, Float
D015DEXP, String
D013COEF, String
D031PIXF, Float
D011OUUN, String
D020OUWE, String
D013SCAL, String
D009WTSC, String
D021DEXP, Float
