NGOODPIX, Integer
NAXIS, Integer
RAW_LTV2, Float
RAW_LTV1, Float
DATE, String
GCOUNT, Integer
CD1_2, Float
CD1_1, Float
LTM2_2, Float
XTENSION, String
SDQFLAGS, Integer
DEC_APER, Float
LTM1_1, Float
EXPNAME, String
ORIGIN, String
GOODMAX, Float
BITPIX, Integer
NAXIS1, Integer
WCSAXES, Integer
GOODMIN, Float
NAXIS2, Integer
INHERIT, Bool
EXTNAME, String
CD2_1, Float
BUNIT, String
CD2_2, Float
LTV2, Float
RA_APER, Float
CRVAL2, Float
CRPIX1, Float
CRPIX2, Float
CRVAL1, Float
EXTVER, Integer
LTV1, Float
ORIENTAT, Float
PCOUNT, Integer
GOODMEAN, Float
CTYPE2, String
CTYPE1, String
PA_APER, Float
VAFACTOR, Float
